"police_department","state","ORI","civilian_complaints_sustained_2020","civilian_complaints_reported_2020","discrimination_complaints_reported_2020","discrimination_complaints_sustained_2020"
"San Diego County District Attorney","CA","CA0633700",0,0,0,0
"San Francisco Co. District Attorney","CA","CA0633800",0,0,0,0
"San Joaquin Co. District Attorney","CA","CA0633900",0,0,0,0
"San Luis Obispo Co Dist. Attorney","CA","CA0634000",0,0,0,0
"San Mateo County District Attorney","CA","CA0634100",0,1,0,0
"Santa Barbara County District Attorney","CA","CA0634200",0,0,0,0
"Santa Clara Co. District Attorney","CA","CA0634300",0,1,1,0
"Santa Cruz County District Attorney","CA","CA0634400",0,0,0,0
"Shasta County District Attorney","CA","CA0634500",0,0,0,0
"Siskiyou County District Attorney","CA","CA0634700",0,0,0,0
"Solano County District Attorney","CA","CA0634800",0,0,0,0
"Sonoma County District Attorney","CA","CA0634900",0,0,0,0
"Stanislaus County District Attorney","CA","CA0635000",0,1,0,0
"Sutter County District Attorney","CA","CA0635100",0,0,0,0
"Tehama County District Attorney","CA","CA0635200",0,0,0,0
"Trinity County District Attorney","CA","CA0635300",0,0,0,0
"Tulare County District Attorney","CA","CA0635400",0,1,0,0
"Tuolumne County District Attorney","CA","CA0635500",0,0,0,0
"Ventura County District Attorney","CA","CA0635600",0,1,0,0
"Yolo County District Attorney","CA","CA0635700",0,0,0,0
"Yuba County District Attorney","CA","CA0635800",0,0,0,0
"Alameda County Social Services","CA","CA0640100",0,0,0,0
"Amador County Social Services","CA","CA0640300",0,NA,0,0
"Calaveras County Welfare","CA","CA0640500",0,NA,0,0
"Contra Costa County Employment & Human Services","CA","CA0640700",0,0,0,0
"Del Norte County Social Services","CA","CA0640800",0,NA,0,0
"El Dorado County Welfare Department","CA","CA0640900",0,NA,0,0
"Glenn County Human Resources Agcy","CA","CA0641100",0,0,0,0
"Humboldt County Social Welfare","CA","CA0641200",0,NA,0,0
"Kings County Social Services","CA","CA0641600",0,0,0,0
"Lassen County Social Services","CA","CA0641800",0,NA,0,0
"Los Angeles Co, Dpss, Welfare Fraud","CA","CA0641900",0,NA,0,0
"Madera County Welfare Fraud Investigations","CA","CA0642000",0,NA,0,0
"Marin County Social Services","CA","CA0642100",0,0,0,0
"Mariposa Co Human Svcs Dept/Socsvcs","CA","CA0642200",0,NA,0,0
"Mendocino Co Soc Svcs/Spec Invest","CA","CA0642300",0,0,0,0
"Merced County Human Services","CA","CA0642400",0,NA,0,0
"Modoc County Social Services","CA","CA0642500",0,NA,0,0
"Napa County Health & Human Services","CA","CA0642800",0,NA,0,0
"Nevada County Human Service Agency","CA","CA0642900",0,NA,0,0
"Placer Co Dept Of Health&Human Svc","CA","CA0643100",0,NA,0,0
"Plumas County Social Services","CA","CA0643200",0,0,0,0
"Riverside County Public Social Srvs","CA","CA0643300",0,0,0,0
"Sacramento Co Dept Of Human Asst.","CA","CA0643400",0,1,0,0
"San Benito Co. Human Services Agy","CA","CA0643500",0,NA,0,0
"San Bernardino Co. Welfare Fraud","CA","CA0643600",0,0,0,0
"San Luis Obispo Co. Social Srvs","CA","CA0644000",0,0,0,0
"San Mateo County Human Services","CA","CA0644100",0,0,0,0
"Santa Cruz County Human Resources","CA","CA0644400",0,0,0,0
"Solano Co. Health And Social Srvs","CA","CA0644800",0,1,0,0
"Sonoma Co. Human Services Dept","CA","CA0644900",0,0,0,0
"Stanislaus Co Community Svcs Agy","CA","CA0645000",0,0,0,0
"Sutter Co Dept Of Human Services","CA","CA0645100",0,0,0,0
"Trinity Co.Health & Human Services","CA","CA0645300",0,NA,0,0
"Tuolumne Co Departmentof Social Services","CA","CA0645500",0,NA,0,0
"Yuba County Social Services","CA","CA0645800",0,0,0,0
"Long Beach Municipal Airport","CA","CA0650100",0,NA,0,0
"Yuba County Airport","CA","CA0650300",0,NA,0,0
"Los Angeles Port Police","CA","CA0652000",0,7,0,0
"Humboldt Bay Harbor Rec&Consv Dist","CA","CA0652200",0,NA,0,0
"Stockton Port District Police","CA","CA0653200",0,0,0,0
"Golden Gate Bridge Hwy & Tran Dist","CA","CA0653500",0,NA,0,0
"Burlington North Santa Fe Railway Police Department","CA","CA0654100",0,1,0,0
"Santa Barbara Airport Patrol","CA","CA0657700",0,0,0,0
"Burbank-Glendale-Pasadena Airport","CA","CA0657800",0,2,0,0
"Stockton Metropolitan Airport Pd","CA","CA0657900",0,NA,0,0
"Fresno Airport Public Safety","CA","CA0658500",0,0,0,0
"City Of Los Angeles Airport Police","CA","CA0659000",0,NA,0,0
"Citrus Community College","CA","CA0660200",0,NA,0,0
"Canada College","CA","CA0660300",0,NA,0,0
"Ohlone College","CA","CA0660400",0,NA,0,0
"Sierra College Police","CA","CA0660500",0,NA,0,0
"Yuba Community College Dist. Police Department","CA","CA0660600",0,0,0,0
"San Francisco Community College Police Department","CA","CA0661000",0,0,0,0
"Golden West College","CA","CA0661200",0,NA,0,0
"Butte Community College Police Department","CA","CA0661400",0,0,0,0
"San Bernardino Valley College","CA","CA0661500",0,NA,0,0
"San Diego Community College Police","CA","CA0661600",0,0,0,0
"Santa Monica College","CA","CA0661700",0,1,0,0
"Chaffey Community College","CA","CA0662000",0,0,0,0
"Compton Community College","CA","CA0662100",0,NA,0,0
"Glendale Community College Police Department","CA","CA0662600",0,1,1,0
"Grossmont-Cuyamaca Comm College","CA","CA0662700",0,NA,0,0
"Los Rios Cc District Police Department","CA","CA0663700",0,0,0,0
"Saddleback College Police Department","CA","CA0663800",0,0,0,0
"Mira Costa Community College Police Department","CA","CA0664200",0,1,0,0
"Clovis Unified School District Police Department","CA","CA0664300",0,0,0,0
"Elk Grove Unified School District Police Department","CA","CA0664400",0,0,0,0
"Montebello Unified School District Police Department","CA","CA0664500",0,0,0,0
"Oakland Unified School District Pd","CA","CA0664600",0,NA,0,0
"San Jose Unified School District Police Department","CA","CA0664700",0,0,0,0
"Alameda County Probation Dept","CA","CA0680100",1,4,0,0
"Alpine County Probation Department","CA","CA0680200",0,0,0,0
"Amador County Probation Department","CA","CA0680300",0,1,0,0
"Butte County Probation Department","CA","CA0680400",0,0,0,0
"Calaveras County Probation Department","CA","CA0680500",0,1,0,0
"Colusa County Probation Department","CA","CA0680600",0,0,0,0
"Contra Costa Co. Probation Department","CA","CA0680700",0,0,0,0
"Del Norte County Probation Department","CA","CA0680800",0,0,1,0
"El Dorado County Probation Department","CA","CA0680900",0,4,0,0
"Fresno County Probation Department","CA","CA0681000",0,2,0,0
"Glenn County Probation Department","CA","CA0681100",0,0,0,0
"Humboldt County Probation Department","CA","CA0681200",0,3,0,0
"Imperial County Probation Department","CA","CA0681300",0,3,0,0
"Inyo County Probation Department","CA","CA0681400",0,0,0,0
"Kern County Probation Department","CA","CA0681500",1,6,0,0
"Kings County Probation Department","CA","CA0681600",1,3,0,0
"Lake County Probation Department","CA","CA0681700",0,1,0,0
"Lassen County Probation Department","CA","CA0681800",0,0,0,0
"Los Angeles Co. Probation Department","CA","CA0681900",0,53,1,0
"Madera County Probation Department","CA","CA0682000",0,0,0,0
"Marin County Probation Department","CA","CA0682100",0,0,0,0
"Mariposa County Probation Department","CA","CA0682200",0,0,0,0
"Mendocino County Probation Department","CA","CA0682300",0,2,0,0
"Merced County Probation Department","CA","CA0682400",0,1,0,0
"Modoc Probation Department","CA","CA0682500",0,0,0,0
"Mono County Probation Department","CA","CA0682600",0,0,0,0
"Monterey County Probation Department","CA","CA0682700",2,6,0,0
"Napa County Probation Department","CA","CA0682800",0,2,0,0
"Nevada County Probation Department","CA","CA0682900",0,1,0,0
"Orange County Probation Department","CA","CA0683000",1,13,0,0
"Placer County Probation Department","CA","CA0683100",0,3,0,0
"Plumas County Probation Department","CA","CA0683200",0,2,0,0
"Riverside County Probation Department","CA","CA0683300",0,8,0,0
"Sacramento County Probation Department","CA","CA0683400",4,45,0,0
"San Benito County Probation Department","CA","CA0683500",0,0,0,0
"San Bernardino Co Probation Dept","CA","CA0683600",0,5,1,0
"San Diego County Probation Department","CA","CA0683700",0,13,1,0
"San Francisco Co. Probation Department","CA","CA0683800",0,0,0,0
"San Francisco Juvenile Probation","CA","CA0683900",0,2,0,0
"San Joaquin County Probation Department","CA","CA0684000",0,1,0,0
"San Luis Obispo Co. Probation Department","CA","CA0684100",0,1,0,0
"San Mateo Co. Prob. Department, Cpo","CA","CA0684200",0,1,0,0
"Santa Barbara County Probation Dept","CA","CA0684300",2,4,0,0
"Santa Clara County Probation Department","CA","CA0684400",0,2,0,0
"Santa Cruz County Probation Department","CA","CA0684500",0,0,0,0
"Shasta County Probation Department","CA","CA0684600",0,3,0,0
"Sierra County Probation Department","CA","CA0684700",0,0,0,0
"Siskiyou County Probation Department","CA","CA0684800",0,0,0,0
"Solano County Probation Department","CA","CA0684900",0,1,0,0
"Sonoma County Probation Department","CA","CA0685000",0,0,0,0
"Stanislaus County Probation Department","CA","CA0685100",0,3,0,0
"Sutter County Probation Department","CA","CA0685200",1,1,0,0
"Tehama County Probation Department","CA","CA0685300",0,1,0,0
"Trinity County Probation Department","CA","CA0685400",0,0,0,0
"Tulare County Probation Department","CA","CA0685500",1,3,0,0
"Tuolumne County Probation Department","CA","CA0685600",1,1,0,0
"Ventura County Probation Department","CA","CA0685700",0,2,0,0
"Yolo County Probation Department","CA","CA0685800",0,2,0,0
"Yuba County Probation Department","CA","CA0685900",0,0,0,0
"Fresno County Coroner","CA","CA0701000",0,NA,0,0
"Humboldt County Coroner","CA","CA0701200",0,NA,0,0
"Inyo County Coroner","CA","CA0701400",0,0,0,0
"Los Angeles County Coroner","CA","CA0701900",0,0,0,0
"Sacramento County Coroner","CA","CA0703400",0,0,0,0
"San Diego Co. Medical Examiner","CA","CA0703700",0,0,0,0
"San Francisco Medical Examiner","CA","CA0703800",0,0,0,0
"San Mateo County Coroner","CA","CA0704100",1,12,0,0
"Trinity County Coroner","CA","CA0705300",0,NA,0,0
"Ventura County Coroner","CA","CA0705600",0,0,0,0
"Trinity County Marshal","CA","CA0732300",0,0,0,0
"Amador Superior Court","CA","CA0733000",0,NA,0,0
"Calif Dept Of Insurance, Fraud Div","CA","CA0750100",0,2,0,0
"Lake Hemet Muni Water District","CA","CA0750400",0,NA,0,0
"Doj Ag'S Office/Medi-Cal Fraud Unit","CA","CA0750500",0,0,0,0
"Ca Board Of Parole Hearings","CA","CA0750600",0,0,0,0
"Calif State Legis/Senate Sgt /Arms","CA","CA0750700",0,0,0,0
"State Supreme Court","CA","CA0750900",0,NA,0,0
"Dept Of Parks And Recreation","CA","CA0751000",1,25,2,0
"Cons Affairs/Dental Board Of Ca","CA","CA0751300",0,1,1,0
"Cons Affairs/Medical Board","CA","CA0751400",0,NA,0,0
"Department Of Alcoholic Beverage Control","CA","CA0751500",0,7,1,0
"Dept Of Cons Affairs/Div Of Invest.","CA","CA0751600",0,0,0,0
"Dept Of Corrections/ Inmate Appeals","CA","CA0751700",783,5381,742,18
"Dept Of Developmental Services/Office Of Protective Services","CA","CA0751800",0,NA,0,0
"Dept Of Fish & Game/Law Enforcement Division","CA","CA0751900",0,17,2,0
"Dept Of Forestry & Fire Protection","CA","CA0752000",0,2,0,0
"Dept Of Health Svcs/Audits&Invest.","CA","CA0752100",0,0,0,0
"Dept Of Indust. Rel/Labor Stnd Enf.","CA","CA0752200",0,0,0,0
"Office Of Protective Services","CA","CA0752300",0,0,0,0
"Dmv/Investigations","CA","CA0752400",2,5,0,0
"California Horse Racing Board","CA","CA0752600",0,1,0,0
"Ca State Legis/Assembly Sgt At Arms","CA","CA0752700",0,0,0,0
"Calif Dept Of Soc Srvcs/Branch Of Investigation","CA","CA0753800",0,0,0,0
"Calpers","CA","CA0754100",0,0,0,0
"Dept Of Housing & Comm Development","CA","CA0754200",0,NA,0,0
"State Controller/Sp Invest. Bureau","CA","CA0754300",0,NA,0,0
"Dept Of Business Oversight","CA","CA0754400",0,0,0,0
"Dept Of Cons Affairs/Contractors Bd","CA","CA0754500",0,0,0,0
"Oes/Law Enforcement Division","CA","CA0754600",0,0,0,0
"Secretary Of State/Investigations","CA","CA0754700",0,0,0,0
"Calif Lottery Security/Law Enf.","CA","CA0754800",0,0,0,0
"Edd/Investigation Division","CA","CA0754900",0,0,0,0
"Ca Exposition Pk/Dept Of Pub Safety","CA","CA0755000",0,NA,0,0
"City Of Los Angeles/General Svcs.","CA","CA0755100",0,NA,0,0
"California Dept. Of Corrections And Rehabilitation: Juvenile Parole Board","CA","CA0755600",0,NA,0,0
"Dept Of Public Health /Food & Drug","CA","CA0755800",0,0,0,0
"Madera County Department Of Corrections","CA","CA0756000",0,NA,0,0
"Kern Housing Authority","CA","CA0764000",0,0,0,0
"Housing Authority Of The City Of Los Angeles","CA","CA0764700",0,NA,0,0
"Oakland Housing Authority","CA","CA0766100",2,4,0,0
"Sacramento Housing Authority","CA","CA0768300",0,1,0,0
"San Luis Obispo Housing Authority","CA","CA0769000",0,0,0,0
"Menifee Police Department","CA","CA0334900",0,NA,0,0
"Orleans Police Department","MA","MA0011000",0,NA,0,0
"Eastham Police Department","MA","MA0010600",0,NA,0,0
"West Tisbury Police Department","MA","MA0040700",0,NA,0,0
"Edgartown Police Department","MA","MA0040200",0,NA,0,0
"Alachua County Sheriff's Office","FL","FL0010000",0,NA,0,0
"Cedar Park Police Department","TX","TX2460900",0,NA,0,0
"East Baton Rouge Parish Sheriff","LA","LA0170000",0,NA,0,0
"Fort Myers Police Department","FL","FL0360100",0,NA,6,0
"Yarmouth Police Department","MA","MA0011500",0,1,0,0
"Springdale Police Department","AR","AR0720200",2,18,1,0
"Brockton Police Department","MA","MA0120300",1,32,0,0
"Lubbock Police Department","TX","TX1520200",0,NA,2,0
"Chesterfield Police Department","VA","VA0210100",18,67,10,0
"Lincoln Police Department","NE","NB0550100",0,NA,0,0
"Bellevue Police Department","WA","WA0170200",2,52,6,0
"Howard County Police Department","MD","MD0140100",1,8,0,0
"Mckinney Police Department","TX","TX0430500",3,36,2,0
"Reno Police Department","NV","NV0160100",0,33,0,0
"Amherst Police Department","MA","MA0080100",0,2,0,0
"Kalamazoo County Sheriff","MI","MI3913900",17,47,1,1
"Rockford Police Department","IL","IL1010400",0,NA,0,0
"Carrollton Police Department","TX","TX0570400",8,68,10,0
"Clarksville Police Department","TN","TN0630100",4,13,2,0
"Columbus Police Department","GA","GA1060100",5,23,3,0
"Odessa Police Department","TX","TX0680200",6,15,2,0
"Cicero Police Department","IL","IL0162100",1,3,0,0
"Nassau County Police Department","NY","NY0290000",0,NA,0,0
"Hudson Police Department","OH","OH0770500",0,0,0,0
"Independence Police Department","MO","MO0480600",0,NA,0,0
"Collier County Sheriff's Office","FL","FL0110000",17,55,2,0
"Provo Police Department","UT","UT0250600",0,NA,0,0
"Sedgwick County Sheriff's Office","KS","KS0870000",0,NA,0,0
"Palm Beach County Sheriff's Office","FL","FL0500000",0,NA,24,0
"Anchorage Police Department","AK","AK0010100",31,227,5,0
"Pinellas County Sheriff's Office","FL","FL0520000",0,NA,5,0
"Ottawa County Sheriff's Office","MI","MI7017000",0,NA,0,0
"Pasco County Sheriff's Office","FL","FL0510000",5,158,0,0
"Richland County Sheriff's Office","SC","SC0400000",84,143,0,0
"Charleston County Sheriff's Office","SC","SC0100000",0,NA,0,0
"Warren County Sheriff's Office","OH","OH0830000",0,NA,0,0
"Catawba County Sheriff's Office","NC","NC0180000",0,NA,0,0
"Aberdeen Township Police","NJ","",0,NA,0,0
"Absecon City Police","NJ","",0,NA,0,0
"Allendale Police","NJ","",0,NA,0,0
"Allenhurst Police","NJ","",0,NA,0,0
"Asbury Park Police","NJ","NJ0130300",0,NA,0,0
"Atlantic City Police","NJ","NJ0010200",4,52,0,0
"Atlantic County Sheriff's Office","NJ","NJ0010000",0,NA,0,0
"Atlantic County Justice Facility","NJ","",0,NA,0,0
"Atlantic Highlands Police","NJ","NJ0130500",0,0,0,0
"Audubon Police","NJ","",0,NA,0,0
"Avalon Boro Police","NJ","",0,NA,0,0
"Barnegat Township Police","NJ","NJ0153300",0,NA,0,0
"Barrington Police","NJ","NJ0040300",0,NA,0,0
"Bayonne Police","NJ","NJ0090100",2,23,0,0
"Beachwood Boro Police","NJ","",0,NA,0,0
"Bedminster Township Police","NJ","",0,NA,0,0
"Belleville Police","NJ","NJ0070100",10,55,0,0
"Bellmawr Police","NJ","NJ0040400",0,NA,0,0
"Belmar Police","NJ","NJ0130700",0,NA,0,0
"Belvidere Police","NJ","NJ0210300",0,NA,0,0
"Bergen County Prosecutors Office","NJ","",0,NA,0,0
"Bergen County Sheriff's Office","NJ","NJ0020000",38,134,0,0
"Berkeley Heights Police","NJ","NJ0200100",0,NA,0,0
"Berkeley Township Police","NJ","NJ0150500",0,NA,0,0
"Berlin Boro Police","NJ","",0,NA,0,0
"Berlin Township Police","NJ","NJ0040600",0,NA,0,0
"Bernards Township Police","NJ","NJ0180200",0,NA,0,0
"Bernardsville Police Department","NJ","NJ0180300",0,NA,0,0
"Beverly City Police","NJ","",0,NA,0,0
"Bloomfield Police","NJ","NJ0070200",19,59,0,0
"Bogota Police","NJ","",0,NA,0,0
"Boonton Police","NJ","",0,NA,0,0
"Bordentown City Police","NJ","NJ0030300",0,NA,0,0
"Bordentown Township Police","NJ","NJ0030400",0,NA,0,0
"Bound Brook Police","NJ","NJ0180400",0,NA,0,0
"Bradley Beach Police","NJ","NJ0130800",0,NA,0,0
"Branchburg Township Police","NJ","NJ0180500",0,NA,0,0
"Bridgeton Police","NJ","NJ0060100",0,NA,0,0
"Bridgewater Township Police","NJ","NJ0180600",0,NA,0,0
"Brielle Police","NJ","NJ0130900",0,NA,0,0
"Brigantine Police","NJ","NJ0010300",0,NA,0,0
"Brooklawn Police","NJ","",0,NA,0,0
"Burlington City Police","NJ","NJ0030500",0,NA,0,0
"Burlington County Bridge Commission","NJ","",0,NA,0,0
"Burlington County Sheriff's Office","NJ","NJ0030000",0,NA,0,0
"Burlington Township Police","NJ","NJ0030600",0,NA,0,0
"Butler Boro Police","NJ","",0,NA,0,0
"Byram Township Police","NJ","NJ0190400",0,NA,0,0
"Caldwell Police","NJ","",0,NA,0,0
"Camden County Prosecutors Office","NJ","",0,NA,0,0
"Camden County Sheriff's Office","NJ","NJ0040000",0,NA,0,0
"Camden Doc","NJ","",0,NA,0,0
"Cape May City Police","NJ","NJ0050200",2,9,0,0
"Cape May County Prosecutors Office","NJ","",0,NA,0,0
"Cape May County Sheriff's Office","NJ","NJ0050000",9,12,0,0
"Carlstadt Police","NJ","NJ0020500",0,NA,0,0
"Carneys Point Police","NJ","",0,NA,0,0
"Carteret Police","NJ","NJ0120100",0,NA,0,0
"Cedar Grove Police","NJ","",0,NA,0,0
"Chatham Boro Police","NJ","",0,NA,0,0
"Chatham Township Police","NJ","NJ0140500",0,NA,0,0
"Cherry Hill Boe","NJ","",0,NA,0,0
"Chester Police","NJ","",0,NA,0,0
"Chesterfield Township Police","NJ","NJ0030700",0,NA,0,0
"Cinnaminson Police","NJ","",0,NA,0,0
"Clark Police","NJ","NJ0200200",0,NA,0,0
"Clementon Boro Police","NJ","",0,NA,0,0
"Cliffside Park Police","NJ","NJ0020600",0,NA,0,0
"Clinton Town Police","NJ","",0,NA,0,0
"Clinton Township Police","NJ","NJ0100600",0,NA,0,0
"Closter Police","NJ","NJ0020700",0,NA,0,0
"College Of New Jersey","NJ","",0,NA,0,0
"Collingswood Police","NJ","NJ0041100",0,NA,0,0
"Colts Neck Police","NJ","",0,NA,0,0
"Cranbury Township Police","NJ","NJ0120200",0,NA,0,0
"Cranford Police","NJ","NJ0200300",0,NA,0,0
"Cresskill Police","NJ","NJ0020800",0,NA,0,0
"Cumberland County Prosecutors Office","NJ","",0,NA,0,0
"Cumberland County Sheriff's Office","NJ","NJ0060000",0,NA,0,0
"Cumberland Doc","NJ","",0,NA,0,0
"Deal Police","NJ","NJ0131000",0,NA,0,0
"Delanco Township Police","NJ","NJ0030900",0,NA,0,0
"Delaware River Port Authority","NJ","",0,NA,0,0
"Delaware Township Police","NJ","NJ0100700",0,NA,0,0
"Delran Township Police","NJ","NJ0031000",0,NA,0,0
"Denville Police","NJ","NJ0140800",0,NA,0,0
"Deptford Township Police","NJ","",0,NA,0,0
"Dover Police","NJ","NJ0140900",0,NA,0,0
"Dumont Police","NJ","NJ0021000",0,NA,0,0
"Dunellen Police","NJ","NJ0120300",0,NA,0,0
"East Brunswick Township Police","NJ","NJ0120400",0,NA,0,0
"East Greenwich Township Police","NJ","",0,NA,0,0
"East Hanover Township Police","NJ","NJ0141000",0,NA,0,0
"East Orange Police","NJ","NJ0070600",75,291,0,0
"East Rutherford Police","NJ","NJ0021200",0,NA,0,0
"East Windsor Township Police","NJ","NJ0110100",0,NA,0,0
"Eastampton Township Police","NJ","NJ0031100",0,NA,0,0
"Eatontown Police","NJ","NJ0131100",0,NA,0,0
"Edgewater Park Township Police","NJ","NJ0031200",0,NA,0,0
"Edgewater Police","NJ","NJ0021300",0,6,0,0
"Egg Harbor Township Police","NJ","NJ0010800",0,NA,0,0
"Elmer Boro Police","NJ","",0,NA,0,0
"Elmwood Park Police","NJ","",0,NA,0,0
"Emerson Police","NJ","",0,NA,0,0
"Englewood Cliffs Police","NJ","NJ0021600",0,NA,0,0
"Englewood Police","NJ","NJ0021500",0,NA,0,0
"Englishtown Police","NJ","",0,NA,0,0
"Essex County Sheriff's Office","NJ","NJ0070000",0,NA,0,0
"Essex Fells Police","NJ","NJ0070700",0,NA,0,0
"Evesham Township Police","NJ","NJ0031300",0,NA,0,0
"Ewing Township Police","NJ","NJ0110200",0,NA,0,0
"Fair Lawn Police","NJ","NJ0021700",0,NA,0,0
"Fairfield Police","NJ","",0,NA,0,0
"Fairview Police","NJ","NJ0021800",0,NA,0,0
"Fanwood Police","NJ","NJ0200500",0,NA,0,0
"Flemington Police","NJ","",0,NA,0,0
"Florence Township Police","NJ","NJ0031500",0,NA,0,0
"Florham Park Police","NJ","NJ0141100",0,NA,0,0
"Fort Lee Police","NJ","NJ0021900",0,NA,0,0
"Franklin Boro Police","NJ","",0,NA,0,0
"Franklin Lakes Boro Police","NJ","",0,NA,0,0
"Franklin Township Police-Gloucester","NJ","",0,NA,0,0
"Franklin Township Police-Hunterdon","NJ","",0,NA,0,0
"Franklin Township Police-Somerset","NJ","",0,NA,0,0
"Freehold Boro Police","NJ","",0,NA,0,0
"Freehold Township Police","NJ","NJ0131600",0,NA,0,0
"Frenchtown Boro Police","NJ","",0,NA,0,0
"Galloway Township Police","NJ","NJ0011100",0,NA,0,0
"Garwood Police","NJ","NJ0200600",0,NA,0,0
"Gibbsboro Police","NJ","",0,NA,0,0
"Glassboro Police","NJ","NJ0080600",0,NA,0,0
"Glen Ridge Police","NJ","NJ0070800",0,NA,0,0
"Gloucester City Police","NJ","NJ0041400",0,NA,0,0
"Gloucester County Prosecutors Office","NJ","",0,NA,0,0
"Gloucester County Sheriff's Department","NJ","",0,NA,0,0
"Gloucester Township Police","NJ","NJ0041500",19,73,0,0
"Green Brook Police","NJ","NJ0180900",0,NA,0,0
"Greenwich Township Police-Gloucester","NJ","",0,NA,0,0
"Greenwich Township Police-Warren","NJ","",0,NA,0,0
"Guttenberg Police","NJ","NJ0090300",0,NA,0,0
"Hackensack Police","NJ","NJ0022300",0,NA,0,0
"Hackettstown Police","NJ","NJ0210800",0,NA,0,0
"Haddon Heights Police","NJ","NJ0041800",0,0,0,0
"Haddon Township Police","NJ","NJ0041600",0,NA,0,0
"Haddonfield Police","NJ","NJ0041700",0,NA,0,0
"Haledon Police","NJ","",0,NA,0,0
"Hamburg Police","NJ","",0,NA,0,0
"Hammonton Police","NJ","NJ0011300",1,6,0,0
"Hanover Township Police","NJ","NJ0141200",0,NA,0,0
"Harding Township Police","NJ","NJ0141300",0,NA,0,0
"Hardyston Township Police Dept","NJ","",0,NA,0,0
"Harrington Park Police","NJ","NJ0022400",0,NA,0,0
"Harrison Police","NJ","NJ0090400",0,NA,0,0
"Harvey Cedars Boro Police","NJ","",0,NA,0,0
"Hasbrouck Heights Police","NJ","NJ0022500",0,NA,0,0
"Hawthorne Police","NJ","NJ0160400",0,NA,0,0
"Hazlet Township Police","NJ","",0,NA,0,0
"Hi-Nella Police","NJ","",0,NA,0,0
"High Bridge Boro Police","NJ","",0,NA,0,0
"Highland Park Police","NJ","NJ0120700",0,NA,0,0
"Highlands Police","NJ","NJ0131700",0,NA,0,0
"Hightstown Police","NJ","NJ0110400",0,NA,0,0
"Hillsborough Township Police","NJ","NJ0181000",0,NA,0,0
"Hillside Police","NJ","NJ0200700",0,NA,0,0
"Ho-Ho-Kus Police","NJ","NJ0022800",0,2,0,0
"Hoboken Police","NJ","NJ0090500",110,168,0,0
"Holland Township Police","NJ","NJ0101500",0,NA,0,0
"Holmdel Police","NJ","NJ0131800",0,NA,0,0
"Hopatcong Police","NJ","",0,NA,0,0
"Hopewell Township Police","NJ","NJ0110600",0,NA,0,0
"Howell Township Police","NJ","NJ0131900",0,NA,0,0
"Hudson County Prosecutor Office","NJ","",0,NA,0,0
"Hudson County Sheriff's Department","NJ","",0,NA,0,0
"Hudson County Doc","NJ","",0,NA,0,0
"Independence Township Police","NJ","",0,NA,0,0
"Irvington Police","NJ","NJ0070900",20,35,0,0
"Island Heights Boro Police","NJ","",0,NA,0,0
"Jackson Township Police","NJ","NJ0151100",3,13,0,0
"Jamesburg Police","NJ","NJ0120800",0,NA,0,0
"Jefferson Township Police","NJ","NJ0141400",0,NA,0,0
"Jersey City Police Department","NJ","NJ009C100",3,59,0,0
"Kean University Police","NJ","NJ0202400",0,NA,0,0
"Keansburg Police","NJ","NJ0132100",0,NA,0,0
"Kearny Police","NJ","NJ0090700",0,NA,0,0
"Kenilworth Police","NJ","",0,NA,0,0
"Keyport Police","NJ","NJ0132200",0,NA,0,0
"Lacey Township Police","NJ","NJ0151200",0,NA,0,0
"Lakehurst Boro Police","NJ","",0,NA,0,0
"Lakewood Police","NJ","NJ0151400",6,26,4,0
"Lambertville City Police","NJ","",0,NA,0,0
"Laurel Springs Police","NJ","NJ0042000",0,NA,0,0
"Lavallette Police","NJ","NJ0151500",0,2,0,0
"Lawnside Boro Police","NJ","",0,NA,0,0
"Lawrence Township Police","NJ","NJ0110700",14,58,0,0
"Lebanon Township Police","NJ","NJ0101900",0,NA,0,0
"Leonia Police","NJ","NJ0022900",0,NA,0,0
"Lincoln Park Police","NJ","",0,NA,0,0
"Linden Police","NJ","NJ0200900",28,60,0,0
"Lindenwold Boro Police","NJ","",0,NA,0,0
"Little Egg Harbor Township Police","NJ","NJ0151600",0,NA,0,0
"Little Falls Police","NJ","NJ0160500",0,NA,0,0
"Little Ferry Police","NJ","",0,NA,0,0
"Little Silver Police","NJ","NJ0132300",0,NA,0,0
"Livingston Police","NJ","NJ0071000",0,NA,0,0
"Lodi Police","NJ","NJ0023100",0,NA,0,0
"Logan Township Police","NJ","NJ0080900",0,NA,0,0
"Long Beach Township Police","NJ","NJ0151700",0,NA,0,0
"Long Branch Police","NJ","NJ0132500",0,NA,0,0
"Long Hill Township Police","NJ","",0,NA,0,0
"Lopatcong Township Police","NJ","NJ0211500",0,NA,0,0
"Lower Alloways Creek Township Police","NJ","",0,NA,0,0
"Lower Township Police","NJ","NJ0050500",0,NA,0,0
"Lumberton Township Police Department","NJ","NJ0031800",0,NA,0,0
"Lyndhurst Police Department","NJ","NJ0023200",0,NA,0,0
"Madison Police Department","NJ","NJ0141700",0,NA,0,0
"Magnolia Police","NJ","NJ0042300",0,NA,0,0
"Mahwah Township Police","NJ","NJ0023300",0,NA,0,0
"Manalapan Township Police","NJ","NJ0132600",0,NA,0,0
"Manasquan Police","NJ","NJ0132700",0,NA,0,0
"Manchester Township Police","NJ","NJ0151800",0,NA,0,0
