"Total_Less_lethal_force_2020","ORI","Population","Police Department"
NA,"NY0315400",15671,"Lewiston Town Police Department"
2,"RI0030500",15604,"Tiverton Police Department"
NA,"CA0480000",15389,"Solano County Sheriff"
NA,"OH0183100",15367,"Middleburg Heights Police Department"
NA,"NY0435400",15338,"Stony Point Town Police Department"
NA,"NJ0130300",15331,"Asbury Park Police"
1,"OH0180100",15135,"Bay Village Police Department"
2,"PA0391600",NA,"Whitehall Police Department"
NA,"NY0140400",14968,"Kenmore Village Police Department"
NA,"NY0142400",14965,"Depew Village Police Department"
NA,"NJ0024800",14904,"Ramsey Police"
NA,"NJ0091100",14874,"Weehawken Police"
NA,"AZ0071900",14859,"Paradise Valley Police Department"
0,"NC0630500",2582,"Carthage Police Department"
NA,"NJ0081000",14769,"Mantua Township Police"
NA,"NY0140300",14700,"Tonawanda Police Department"
NA,"NY0170100",14656,"Gloversville Police Department"
NA,"NJ0121000",14639,"Metuchen Police"
NA,"NJ0111200",14628,"Robbinsville Township Police Department"
NA,"NJ0180500",14526,"Branchburg Township Police"
NA,"NJ0041600",14510,"Haddon Township Police"
NA,"NJ0160500",14463,"Little Falls Police"
NA,"NJ0026100",14427,"Tenafly Police"
NA,"NJ0141200",14290,"Hanover Township Police"
4,"OH0170000",14287,"Crawford County Sheriff's Office"
NA,"NY0180100",14278,"Batavia Police Department"
1,"NB0100000",14262,"Buffalo County Sheriff's Office"
0,"OH0240000",14253,"Fayette County Sheriff's Office"
NA,"NY0560100",14215,"Glens Falls Police Department"
NA,"NJ0021800",14209,"Fairview Police"
2,"WA0110000",14197,"Franklin County Sheriff's Office"
2,"MA0010900",14180,"Mashpee Police Department"
NA,"NJ0211900",14136,"Phillipsburg Police"
2,"OH0772900",14125,"New Franklin Police Department"
1,"OH0650100",14113,"Circleville Police Department"
0,"OH0431400",14097,"Willowick Police Department"
NA,"NJ0191200",14086,"Hopatcong Police"
NA,"NY0030300",14055,"Johnson City Village Police Department"
NA,"NY0552700",14040,"New Paltz Township Police Department"
NA,"NY0130100",13984,"Beacon Police Department"
NA,"NY0380100",13904,"Oneonta Police Department"
NA,"NJ0041100",13864,"Collingswood Police"
1,"OH0250100",13851,"Bexley Police Department"
NA,"NJ0011300",13845,"Hammonton Police"
NA,"NY0559900",13782,"Shawangunk Town Police Department"
14,"MA0010500",13760,"Dennis Police Department"
NA,"NY0142200",13748,"East Aurora-Town Of Aurora Police Department"
NA,"NJ0201100",13741,"New Providence Police"
NA,"NJ0121100",13669,"Middlesex Boro Police"
NA,"NJ0120700",13666,"Highland Park Police"
NA,"NJ0201500",13604,"Roselle Park Police"
NA,"OH0210500",13593,"Powell Police Department"
NA,"NJ0021300",13573,"Edgewater Police"
0,"SC0070100",13561,"Beaufort Police Department"
NA,"NJ0025700",13533,"Saddle Brook Police"
NA,"NJ0200100",13371,"Berkeley Heights Police"
NA,"NJ0072000",13368,"Verona Police"
NA,"NY0040100",13334,"Olean Police Department"
NA,"NJ0082400",13278,"Woolwich Township Police"
0,"OH0460100",13240,"Bellefontaine Police Department"
NA,"NJ0080800",13178,"Harrison Township Police"
NA,"NY0395100",13123,"Kent Town Police Department"
0,"OH0630000",13058,"Paulding County Sheriff's Office"
NA,"NJ0025000",12904,"Ridgefield Park Police"
10,"OH0571500",12833,"West Carrollton Police Department"
0,"OH0431100",12743,"Wickliffe Police Department"
0,"OH0185200",12711,"University Heights Police Department"
NA,"NJ0161600",12653,"Woodland Park Boro Police"
NA,"NY0559500",12626,"Ulster Town Police Department"
NA,"NY0340200",12569,"Geneva Police Department"
NA,"NJ0031500",12527,"Florence Township Police"
NA,"NJ0070500",12483,"Cedar Grove Police"
NA,"NJ0100600",12465,"Clinton Township Police"
15,"NM0080100",12451,"Artesia Police Department"
NA,"NY0030200",12443,"Endicott Village Police Department"
0,"OH0310400",12405,"Blue Ash Police Department"
1,"OH0180300",12383,"Bedford Police Department"
0,"OH0140400",12353,"Wilmington Police Department"
NA,"NJ0170500",12315,"Pennsville Police"
NA,"NY0595900",12266,"North Castle Town Police Department"
NA,"NY0415300",12264,"North Greenbush Town Police Department"
NA,"NY0525400",12264,"Fallsburg Town Police Department"
NA,"NJ0161100",12177,"Ringwood Boro Police"
NA,"NJ0031800",12153,"Lumberton Township Police Department"
NA,"NJ0131100",12124,"Eatontown Police"
NA,"OH0770700",12098,"Macedonia Police Department"
NA,"NJ0181800",12084,"Somerville Police"
NA,"NJ0030400",11974,"Bordentown Township Police"
NA,"OH0771000",11947,"Norton Police Department"
NA,"NJ0134000",11929,"Red Bank Police"
NA,"NJ0090300",11100,"Guttenberg Police Department"
NA,"SD0400300",11902,"Spearfish Police Department"
NA,"NY0357300",11822,"Blooming Grove Town Police Department"
NA,"OH0502200",11772,"Poland Township Police Department"
NA,"NJ0022200",11705,"Glen Rock Police"
NA,"NY0060100",11673,"Dunkirk Police Department"
NA,"NJ0131500",11643,"Freehold Boro Police"
0,"OH0184700",11561,"Seven Hills Police Department"
NA,"OH0180200",11547,"Beachwood Police Department"
7,"OH0150600",11534,"Salem Police Department"
NA,"NJ0026500",11499,"Wallington Police"
1,"MA0100100",11484,"Nantucket Police Department"
NA,"NJ0141100",11455,"Florham Park Police"
1,"OH0820000",11396,"Vinton County Sheriff's Office"
NA,"NY0592800",11383,"Tarrytown Village Police Department"
NA,"OH0780300",11361,"Liberty Township Police Department"
NA,"NJ0150400",11357,"Beachwood Boro Police"
1,"OH0560000",11335,"Monroe County Sheriff's Office"
0,"OH0670500",11323,"Ravenna Police Department"
NA,"NJ0040400",11318,"Bellmawr Police"
NA,"NJ0041700",11274,"Haddonfield Police"
NA,"NJ0041400",11182,"Gloucester City Police"
NA,"NJ0024900",11171,"Ridgefield Boro Police"
3,"OH0313300",11160,"Springdale Police Department"
NA,"OH0252100",11104,"New Albany Police Department"
NA,"NJ0026700",11079,"Westwood Police"
NA,"FL0060000",607959,"Broward County Sheriff"
NA,"NY0432900",11037,"Suffern Village Police Department"
NA,"NY0592500",11037,"Dobbs Ferry Village Police Department"
13,"OH0312900",11024,"Reading Police Department"
NA,"NY0370100",11017,"Fulton Police Department"
8,"OH0450700",11015,"Heath Police Department"
NA,"OH0312300",10929,"Montgomery Police Department"
0,"OH0773000",10917,"Sagamore Hills Township Police Department"
NA,"NJ0050800",10893,"Ocean City Police"
NA,"NJ0141000",10881,"East Hanover Township Police"
NA,"NY0260100",10849,"Oneida Police Department"
NA,"NJ0072100",10841,"West Caldwell Police"
NA,"NJ0080300",10834,"East Greenwich Township Police"
NA,"NJ0161200",10777,"Totowa Boro Police"
NA,"NJ0023000",10736,"Little Ferry Police"
1,"OH0340000",10729,"Harrison County Sheriff's Office"
NA,"NY0430000",10682,"Rockland County Sheriff"
NA,"NJ0043500",10675,"Waterford Township Police"
0,"OH0181000",10584,"Brooklyn Police Department"
7,"OH0150200",10539,"East Liverpool Police Department"
NA,"NY0555600",10484,"Lloyd Town Police Department"
NA,"NY0500100",10469,"Corning Police Department"
2,"RI0010300",10469,"Warren Police Department"
NA,"NJ0042800",10427,"Pine Hill Police"
2,"OH0490100",10378,"London Police Department"
NA,"NY0440100",10364,"Ogdensburg Police Department"
0,"RI0041400",10358,"Glocester Police Department"
0,"OH0184500",10312,"Richmond Heights Police Department"
0,"OH0312000",10281,"Loveland Police Department"
NA,"NY0062900",10205,"Fredonia Village Police Department"
NA,"NJ0180400",10174,"Bound Brook Police"
NA,"NY0440200",10123,"Massena Village Police Department"
NA,"NJ0181100",10116,"Manville Police"
NA,"NY0342900",10112,"Canandaigua Police Department"
NA,"NJ0012100",10108,"Somers Point Police"
NA,"NJ0140500",10071,"Chatham Boro Police"
NA,"NY0593200",10064,"Sleepy Hollow Village Police Department"
NA,"NJ0141600",10051,"Lincoln Park Police"
NA,"CA0440100",10020,"Capitola Police Department"
NA,"NJ0025300",10007,"River Vale Police"
NA,"NY0335600",10002,"Geddes Town Police Department"
1,"OH0170300",9916,"Galion Police Department"
6,"WA0010000",9893,"Adams County Sheriff's Office"
NA,"NY0010300",9863,"Watervliet Police Department"
NA,"NJ0141500",9859,"Kinnelon Boro Police"
NA,"NJ0030500",9849,"Burlington City Police"
NA,"NJ0012200",9815,"Ventnor Police"
NA,"NJ0130400",9786,"Colts Neck Police"
NA,"NJ0021200",9767,"East Rutherford Police"
NA,"NJ0082200",9744,"Woodbury City Police"
NA,"NY0143000",9744,"Hamburg Village Police Department"
1,"MA0010300",9714,"Brewster Police Department"
0,"OH0060200",9680,"Wapakoneta Police Department"
1,"OH0772000",9635,"Bath Township Police Department"
NA,"NJ0023400",9610,"Maywood Police"
NA,"NJ0132100",9582,"Keansburg Police"
NA,"NJ0032400",9546,"Mount Holly Police"
NA,"NY0597200",9542,"Rye Brook Village Police Department"
NA,"NY0355200",9538,"Cornwall Town Police Department"
NA,"NJ0026900",9489,"Wood-Ridge Police"
NA,"NY0512000",9387,"Amityville Village Police Department"
0,"OH0760700",9370,"Louisville Police Department"
NA,"NJ0210800",9316,"Hackettstown Police"
NA,"OH0312100",9303,"Madeira Police Department"
7,"NM0090100",9294,"Silver City Police Department"
NA,"NJ0122000",9235,"South Amboy Police"
6,"NM0070200",9212,"Anthony Police Department"
NA,"NY0357600",9210,"Crawford Town Police Department"
NA,"NY0410100",9149,"Rensselaer Police Department"
NA,"#N/A",NA,"Absecon City Police"
NA,"IA0790100",9104,"Grinnell Police Department"
NA,"NJ0022900",9033,"Leonia Police"
0,"OH0700400",9002,"Shelby Police Department"
NA,"NJ0140100",8977,"Boonton Police"
NA,"OH0091600",8956,"Ross Township Police Department"
NA,"NY0325000",8948,"Whitestown Town Police Department"
NA,"OH0350100",8148,"Napoleon Police Department"
1,"OH0183900",8801,"Olmsted Falls Police Department"
NA,"NJ0080100",8790,"Clayton Police"
NA,"NY0582000",8784,"Newark Village Police Department"
NA,"FL0100100",8783,"Green Cove Springs Police Department"
0,"NM0230300",8732,"Corrales Police Department"
NA,"NJ0081500",8701,"Pitman Police"
NA,"NJ0024700",8688,"Park Ridge Police"
NA,"NJ0020800",8672,"Cresskill Police"
1,"NV0010100",8648,"Fallon Police Department"
NA,"NJ0023600",8643,"Montvale Police Department"
NA,"NJ0033800",8632,"Westampton Township Police"
NA,"NJ0031200",8618,"Edgewater Park Township Police"
NA,"NJ0132900",8613,"Matawan Police"
NA,"NY0352600",8609,"Monroe Village Police Department"
NA,"NJ0152300",8598,"Plumsted Township Police"
NA,"NY0490100",8573,"Seneca Falls Town Police Department"
NA,"NJ0010300",8566,"Brigantine Police"
NA,"NY0353500",8526,"Port Jervis Police Department"
NA,"NY0293900",8482,"Malverne Village Police Department"
NA,"OH0850100",8427,"Orrville Police Department"
NA,"NJ0211500",8419,"Lopatcong Township Police"
NA,"NJ0143000",8389,"Long Hill Township Police"
NA,"NJ0020400",8342,"Bogota Police"
NA,"NJ0160300",8280,"Haledon Police"
0,"OH0762200",8278,"Lawrence Township Police Department"
NA,"NJ0043000",8273,"Runnemede Police"
NA,"NY0500200",8272,"Hornell Police Department"
NA,"NJ0122400",8216,"Spotswood Police"
NA,"NJ0200800",8211,"Kenilworth Police"
NA,"NJ0026300",8199,"Upper Saddle River Police"
0,"OH0310500",8195,"Cheviot Police Department"
NA,"NY0170200",8183,"Johnstown Police Department"
0,"OH0470600",8178,"Oberlin Police Department"
NA,"NY0272800",8142,"Brockport Village Police Department"
NA,"NJ0024400",8137,"Oradell Police"
NA,"NY0252200",8130,"Geneseo Village Police Department"
1,"OH0680100",8118,"Eaton Police Department"
NA,"NY0592100",8097,"Croton-On-Hudson Village Police Department"
NA,"NY0357700",8095,"Chester Town Police Department"
NA,"NY0315500",8012,"Niagara Town Police Department"
NA,"NJ0191500",8008,"Newton Police"
NA,"NJ0011800",7979,"Northfield Police"
0,"OH0782300",7965,"Weathersfield Township Police Department"
NA,"NJ0070300",7938,"Caldwell Police"
NA,"NY0332700",7895,"Baldwinsville Village Police Department"
NA,"NJ0181600",7888,"Raritan Police"
NA,"NJ0190400",7880,"Byram Township Police"
NA,"NJ0135300",7860,"West Long Branch Police"
NA,"NJ0032600",7859,"New Hanover Township Police Department"
NA,"NJ0033100",7788,"Riverside Police"
NA,"NJ0191100",7744,"Hardyston Township Police"
NA,"NJ0200500",7732,"Fanwood Police"
2,"RI0050500",7724,"Richmond Police Department"
NA,"NJ0171300",7632,"Carneys Point Police"
NA,"NY0462000",7631,"Scotia Village Police Department"
NA,"NY0212200",7613,"Ilion Village Police Department"
NA,"NJ0180300",7593,"Bernardsville Police Department"
4,"TX0040100",7581,"Aransas Pass Police Department"
NA,"NJ0070800",7574,"Glen Ridge Police"
NA,"NJ0030700",7557,"Chesterfield Township Police"
NA,"NJ0041800",7527,"Haddon Heights Police"
NA,"NJ0040500",7517,"Berlin Police"
NA,"NY0460000",7446,"Schenectady County Sheriff"
NA,"NJ0032700",7443,"North Hanover Township Police"
1,"OH0151500",7436,"St. Clair Township Police Department"
NA,"OH0260500",7411,"Wauseon Police Department"
NA,"OH0290500",7387,"Bellbrook Police Department"
NA,"OH0430700",7385,"Mentor-On-The-Lake Police Department"
NA,"OH0780200",7370,"Hubbard Police Department"
NA,"NY0457000",7340,"Stillwater Town Police Department"
NA,"NJ0211600",NA,"Mansfield Township Police"
NA,"NY0015800",7247,"Coeymans Town Police Department"
NA,"NJ0023500",7214,"Midland Park Police"
NA,"NY0212400",7212,"Herkimer Village Police Department"
NA,"NJ0120300",7192,"Dunellen Police"
2,"OH0182500",7173,"Independence Police Department"
NA,"NJ0032800",7114,"Palmyra Boro Police"
NA,"NY0572600",7029,"Hudson Falls Village Police Department"
0,"OH0370100",7007,"Logan Police Department"
NA,"NJ0180900",7004,"Green Brook Police"
NA,"NJ0121200",6967,"Milltown Police"
NA,"NY0593500",6956,"Pelham Village Police Department"
NA,"NJ0132200",6951,"Keyport Police"
NA,"NJ0043200",6937,"Stratford Boro Police"
NA,"NJ0020100",6751,"Allendale Police"
NA,"OH0220200",6840,"Huron Police Department"
NA,"OH0432200",6807,"Kirtland Police Department"
NA,"OH0312400",6729,"Mount Healthy Police Department"
NA,"NJ0071500",6666,"North Caldwell Police"
NA,"NY0333500",6607,"North Syracuse Village Police Department"
NA,"NJ0040300",6601,"Barrington Police"
0,"VA0100100",6601,"Bedford Police Department"
NA,"NY0592300",6554,"Tuckahoe Village Police Department"
2,"OH0360200",6549,"Hillsboro Police Department"
NA,"NY0272400",6476,"East Rochester Village Police Department"
NA,"OH0070400",6475,"Martins Ferry Police Department"
NA,"NY0082400",6474,"Norwich Police Department"
NA,"NY0592200",6422,"Bronxville Village Police Department"
0,"RI0020500",6399,"West Greenwich Police Department"
NA,"OH0184400",6367,"Pepper Pike Police Department"
1,"OH0501300",6358,"Beaver Township Police Department"
NA,"NJ0143900",6343,"Wharton Boro Police"
NA,"NY0522200",6338,"Monticello Village Police Department"
NA,"NJ0143400",6250,"Rockaway Boro Police"
1,"OH0400100",6211,"Jackson Police Department"
NA,"NY0332600",6196,"Solvay Village Police Department"
NA,"OH0620200",6159,"Port Clinton Police Department"
NA,"NJ0031100",6156,"Eastampton Township Police"
NA,"NJ0020500",6126,"Carlstadt Police"
NA,"NY0592900",6112,"Larchmont Village Police Department"
0,"OH0700200",6068,"Ontario Police Department"
NA,"NJ0101900",6055,"Lebanon Township Police"
NA,"NJ0182100",6018,"Watchung Police"
NA,"NY0100100",6004,"Hudson Police Department"
NA,"NJ0024300",5904,"Old Tappan Police"
NA,"NJ0120800",5878,"Jamesburg Police"
NA,"NJ0080900",5847,"Logan Township Police"
NA,"NJ0026800",5845,"Woodcliff Lake Police"
NA,"NJ0161000",5834,"Prospect Park Boro Police"
NA,"NJ0071800",5829,"Roseland Police"
NA,"NJ0190200",5826,"Andover Township Police"
NA,"NJ0011700",5825,"Mullica Township Police"
NA,"NJ0081400",5820,"Paulsboro Police"
NA,"NJ0011600",5813,"Margate Police"
NA,"NJ0132700",5796,"Manasquan Police"
NA,"NJ0024100",5792,"Norwood Police"
NA,"NJ0132300",5761,"Little Silver Police"
NA,"NY0352000",5755,"Washingtonville Village Police Department"
1,"MA0011000",5745,"Orleans Police Department"
NA,"NJ0040600",5721,"Berlin Township Police"
NA,"NJ0133800",5708,"Oceanport Police"
NA,"NY0362000",5698,"Albion Village Police Department"
NA,"NJ0210400",5665,"Blairstown Township Police"
NA,"NJ0141900",5632,"Mendham Boro Police"
1,"MN0272000",5625,"St. Anthony Village Police Department"
NA,"NY0362200",5613,"Medina Village Police Department"
0,"OH0150100",5594,"Columbiana Police Department"
NA,"NJ0025400",5566,"Rochelle Park Police"
NA,"NY0162400",5566,"Malone Village Police Department"
NA,"NY0593700",5535,"Pelham Manor Village Police Department"
NA,"NJ0130700",5518,"Belmar Police"
0,"OH0570300",5517,"Germantown Police Department"
NA,"NJ0043100",5511,"Somerdale Police"
2,"OH0781500",5494,"Bazetta Township Police Department"
0,"OH0871800",5458,"Northwood Police Department"
0,"OH0760300",5406,"Canal Fulton Police Department"
NA,"NJ0211200",5386,"Independence Township Police"
0,"UT0100100",5362,"Moab Police Department"
NA,"NY0352300",5361,"Goshen Village Police Department"
NA,"NY0043300",5360,"Salamanca Police Department"
NA,"NJ0021600",5351,"Englewood Cliffs Police"
NA,"NJ0110400",5273,"Hightstown Police"
NA,"NJ0135000",5210,"Union Beach Police"
0,"OH0450900",5150,"Johnstown Police Department"
NA,"OH0050300",5102,"Nelsonville Police Department"
NA,"NJ0101500",5074,"Holland Township Police"
NA,"NY0452300",5018,"Mechanicville Police Department"
NA,"NJ0041000",4950,"Clementon Boro Police"
NA,"NJ0051400",4908,"Wildwood Police"
NA,"NY0612000",4900,"Penn Yan Village Police Department"
NA,"NJ0020900",4884,"Demarest Police"
1,"MA0010600",4874,"Eastham Police Department"
NA,"NY0492100",4842,"Waterloo Village Police Department"
NA,"NY0262900",4826,"Chittenango Village Police Department"
NA,"NJ0080700",NA,"Greenwich Township Police"
0,"RI0041300",4747,"Foster Police Department"
NA,"NJ0022400",4730,"Harrington Park Police"
NA,"NJ0170800",4721,"Penns Grove Police"
NA,"NJ0131700",4682,"Highlands Police"
NA,"MA0040500",4677,"Oak Bluffs Police Department"
1,"OH0700700",4670,"Lexington Police Department"
NA,"OH0640200",4665,"New Lexington Police Department"
NA,"NJ0171200",4661,"Salem Police"
NA,"NJ0130900",4656,"Brielle Police"
NA,"NY0294300",4603,"Old Westbury Village Police Department"
NA,"NJ0100900",4577,"Flemington Police"
NA,"NJ0133500",4573,"Neptune City Police"
NA,"NJ0042500",4573,"Mt. Ephraim Police"
NA,"NJ0152500",4543,"Point Pleasant Beach Police"
1,"WA0350000",4533,"Wahkiakum County Sheriff's Office"
NA,"NJ0181900",4526,"South Bound Brook Police"
NA,"NJ0030900",4448,"Delanco Township Police"
NA,"OH0650200",4425,"Ashville Police Department"
NA,"NJ0100700",4410,"Delaware Township Police"
2,"OH0150300",4392,"East Palestine Police Department"
NA,"MA0040200",4374,"Edgartown Police Department"
NA,"OH0290700",4361,"Cedarville Police Department"
NA,"NJ0200600",4360,"Garwood Police"
NA,"NJ0130500",4348,"Atlantic Highlands Police"
NA,"NY0022800",4343,"Wellsville Village Police Department"
1,"OH0313000",4332,"St. Bernard Police Department"
NA,"NY0472000",4323,"Cobleskill Village Police Department"
NA,"OH0260100",4319,"Archbold Police Department"
NA,"NJ0042300",4259,"Magnolia Police"
NA,"NJ0142500",4224,"Mountain Lakes Police"
2,"OH0660100",4217,"Waverly Police Department"
3,"OH0080200",4215,"Georgetown Police Department"
NA,"NJ0143300",4198,"Riverdale Police"
NA,"NY0522000",4182,"Liberty Village Police Department"
NA,"OH0500700",4163,"Sebring Police Department"
NA,"NJ0130800",4131,"Bradley Beach Police"
NA,"NJ0082100",4123,"Westville Police"
NA,"NJ0120200",4086,"Cranbury Township Police"
NA,"NY0532000",4083,"Waverly Village Police Department"
NA,"NJ0134500",4082,"Shrewsbury Police"
NA,"NJ0010700",4031,"Egg Harbor City Police"
NA,"NY0552600",4000,"Ellenville Village Police Department"
NA,"NY0022000",3970,"Alfred Village Police Department"
NA,"OH0181300",3921,"Chagrin Falls Police Department"
NA,"NJ0032200",3888,"Medford Lakes Police"
NA,"NY0012500",3850,"Menands Village Police Department"
NA,"NY0532400",3846,"Owego Village Police Department"
NA,"NJ0101700",3788,"Lambertville City Police"
NA,"NJ0030300",3778,"Bordentown City Police"
NA,"NY0072100",3774,"Elmira Heights Village Police Department"
NA,"NY0353200",3773,"Maybrook Village Police Department"
NA,"NJ0141300",3750,"Harding Township Police"
NA,"NJ0050700",3731,"North Wildwood City Police"
NA,"NJ0152900",3701,"South Toms River Police"
NA,"NJ0042400",3688,"Merchantville Police"
NA,"NY0162300",3671,"Saranac Lake Village Police Department"
NA,"OH0770900",3662,"Northfield Village Police Department"
NA,"NY0452400",3647,"South Glens Falls Village Police Department"
NA,"NY0323700",3595,"Whitesboro Village Police Department"
0,"OH0311500",3563,"Greenhills Police Department"
NA,"NY0122700",3553,"Sidney Village Police Department"
NA,"OH0310200",3547,"Amberley Village Police Department"
NA,"OH0880100",3541,"Carey Police Department"
NA,"NY0602300",3471,"Perry Village Police Department"
4,"OH0311900",3440,"Lockland Police Department"
NA,"NJ0171500",3429,"Woodstown Boro Police"
NA,"NY0162000",3420,"Tupper Lake Village Police Department"
0,"OH0313500",3410,"Woodlawn Police Department"
NA,"NJ0050200",3401,"Cape May City Police"
NA,"NJ0153200",3396,"Tuckerton Boro Police"
0,"OH0310600",3390,"Cleves Police Department"
NA,"NJ0101400",3385,"High Bridge Boro Police"
NA,"NY0512600",3330,"Southampton Village Police Department"
0,"OH0762500",3309,"Uniontown Police Department"
NA,"NY0242400",3297,"Lowville Village Police Department"
NA,"NJ0191900",3275,"Stanhope Police"
NA,"NY0252000",3272,"Avon Village Police Department"
NA,"NY0572400",3256,"Fort Edward Village Police Department"
NA,"NJ0033500",NA,"Springfield Township Police"
NA,"NJ0133300",3235,"Monmouth Beach Police"
NA,"NY0324000",3200,"New York Mills Village Police Department"
NA,"NJ0025800",3170,"Saddle River Police"
NA,"OH0430500",3164,"Madison Village Police Department"
NA,"NJ0212000",3158,"Pohatcong Police"
NA,"NJ0142800",3116,"Netcong Boro Police"
NA,"NJ0190900",3110,"Hamburg Police"
NA,"NJ0151700",3075,"Long Beach Township Police"
NA,"OH0770600",3072,"Lakemore Police Department"
NA,"NY0022600",3059,"Cuba Town Police Department"
NA,"NJ0051500",3024,"Wildwood Crest Boro Police"
NA,"CA0460000",2952,"Sierra Sheriff"
NA,"NJ0082300",2949,"Woodbury Heights Police"
NA,"NY0063200",2941,"Westfield Village Police Department"
NA,"",NA,"Millerton Village Police Department"
NA,"MA0040700",2919,"West Tisbury Police Department"
NA,"NJ0152600",2917,"Seaside Heights Police"
NA,"NJ0134800",2894,"Spring Lake Police"
NA,"OH0451700",2870,"Buckeye Lake Police Department"
NA,"NY0122900",2768,"Walton Village Police Department"
NA,"NY0252600",2765,"Mount Morris Village Police Department"
NA,"NJ0102600",2728,"West Amwell Township Police"
NA,"NJ0151300",2718,"Lakehurst Boro Police"
NA,"OH0620100",2701,"Oak Harbor Police Department"
NA,"NJ0023700",2700,"Moonachie Police"
NA,"NJ0100500",2684,"Clinton Town Police"
NA,"NJ0033200",2676,"Riverton Boro Police"
NA,"NY0192200",2655,"Coxsackie Village Police Department"
NA,"NY0195000",2620,"Hunter Town Police Department"
NA,"NJ0090200",2614,"East Newark Police"
2,"OH0131300",2579,"Williamsburg Police Department"
NA,"OH0140300",2576,"Sabina Police Department"
NA,"NJ0110800",2575,"Pennington Borough Police Department"
NA,"OH0540900",2568,"St. Henry Police Department"
NA,"NY0323800",2556,"Yorkville Village Police Department"
NA,"NJ0210300",2548,"Belvidere Police"
NA,"NY0572800",2533,"Whitehall Village Police Department"
NA,"NY0212300",2507,"Mohawk Village Police Department"
NA,"NJ0025900",2438,"South Hackensack Police"
NA,"NY0572500",2428,"Granville Village Police Department"
NA,"OH0300200",2342,"Byesville Police Department"
NA,"NY0152300",2339,"Lake Placid Village Police Department"
0,"OH0185400",2266,"Walton Hills Police Department"
0,"OH0451300",2253,"Utica Police Department"
NA,"NJ0041300",2210,"Gibbsboro Police"
NA,"OH0091300",2210,"Oxford Township Police Department"
2,"OH0310900",2207,"Elmwood Place Police Department"
NA,"OH0560100",2200,"Woodsfield Police Department"
2,"OH0660300",NA,"Piketon Police Department"
NA,"NY0282200",2122,"Canajoharie Village Police Department"
NA,"MD0010000",2120,"Allegany County Sheriff"
NA,"NY0502400",2120,"Canisteo Village Police Department"
1,"OH0601000",2108,"South Zanesville Police Department"
NA,"NJ0070700",2083,"Essex Fells Police"
NA,"NY0542000",2066,"Dryden Village Police Department"
NA,"OH0440100",2064,"Coal Grove Police Department"
NA,"NJ0050900",2019,"Sea Isle City Police"
1,"OH0650800",2000,"South Bloomfield Police Department"
NA,"MA0011300",1997,"Truro Police Department"
NA,"NY0322100",1974,"Boonville Village Police Department"
NA,"OH0700500",1933,"Bellville Police Department"
NA,"NY0222700",1925,"West Carthage Village Police Department"
NA,"NJ0040700",1892,"Brooklawn Police"
NA,"NJ0151500",1868,"Lavallette Police"
NA,"NJ0042000",1860,"Laurel Springs Police"
NA,"NY0514000",1806,"Westhampton Beach Village Police Department"
NA,"OH0761000",1804,"Navarre Police Department"
NA,"NJ0130600",1771,"Avon-By-The-Sea Police"
NA,"NJ0134400",1758,"Sea Girt Police"
NA,"NY0142600",1757,"Gowanda Village Police Department"
1,"OH0530200",1748,"Pomeroy Police Department"
NA,"NY0382400",1743,"Cooperstown Village Police Department"
NA,"NY0372300",1740,"Central Square Village Police Department"
NA,"NY0542400",1709,"Trumansburg Village Police Department"
2,"OH0010200",1709,"Peebles Police Department"
NA,"NY0572200",1708,"Greenwich Village Police Department"
NA,"OH0600300",1708,"Dresden Police Department"
NA,"OH0311100",1701,"Fairfax Police Department"
NA,"NY0052100",1695,"Weedsport Village Police Department"
0,"OH0650300",1687,"Commercial Point Police Department"
NA,"NY0362100",1669,"Holley Village Police Department"
NA,"NJ0170400",1660,"Lower Alloways Creek Township Police"
NA,"OH0481000",1650,"Holland Police Department"
NA,"OH0320700",1637,"McComb Police Department"
0,"OH0820100",1637,"McArthur Police Department"
NA,"NJ0040900",1615,"Chesilhurst Police"
0,"OH0080100",1600,"Aberdeen Police Department"
0,"OH0110100",1586,"Mechanicsburg Police Department"
NA,"NJ0152700",1541,"Seaside Park Police"
NA,"OH0360400",1480,"Lynchburg Police Department"
0,"OH0860700",1402,"Pioneer Police Department"
NA,"OH0620400",NA,"Elmore Police Department"
2,"OH0252000",1326,"Minerva Park Police Department"
NA,"NJ0134300",1325,"Sea Bright Police"
1,"OH0360300",1324,"Leesburg Police Department"
0,"OH0600400",1317,"Frazeysburg Police Department"
NA,"NJ0032900",1315,"Pemberton Boro Police"
NA,"NY0332400",1294,"Jordan Village Police Department"
NA,"OH0460400",1275,"Degraff Police Department"
NA,"OH0260300",1237,"Fayette Police Department"
NA,"NJ0150300",1210,"Beach Haven Police"
NA,"NY0147000",1209,"North Collins Village Police Department"
NA,"NJ0152800",1156,"Ship Bottom Boro Police"
NA,"OH0180700",1153,"Bratenahl Police Department"
NA,"NY0027000",1130,"Independence Town Police Department"
NA,"OH0501100",1103,"Craig Beach Police Department"
NA,"OH0870700",1022,"Bradner Police Department"
NA,"NY0513900",1019,"Quogue Village Police Department"
NA,"OH0670400",NA,"Mantua Police Department"
NA,"OH0185600",945,"Highland Hills Police Department"
1,"OH0310100",935,"Addyston Police Department"
NA,"OH0050400",896,"Albany Police Department"
NA,"NJ0041900",856,"Hi-Nella Police"
NA,"NJ0011500",846,"Longport Police"
NA,"OH0210600",837,"Shawnee Hills Police Department"
