"Total_Less_lethal_force_2020","ORI","Population","Police Department"
84,"FL0060300",184347,"Ft. Lauderdale Police Department"
48,"TN0330100",184211,"Chattanooga Police Department"
47,"TX0310100",183627,"Brownsville Police Department"
124,"FL0350000",183417,"Lake County Sheriff's Department"
137,"RI0040900",179603,"Providence Police Department"
40,"WA0180000",179202,"Kitsap County Sheriff's Office"
33,"VA1160000",178896,"Newport News Police Department"
NA,"GA0280000",178783,"Cherokee County Sheriff's Department"
20,"AZ0072100",178486,"Peoria Police Department"
18,"CA0340H00",177331,"Elk Grove Police Department"
92,"CA0490500",176932,"Santa Rosa Police Department"
NA,"CA0371000",176616,"Oceanside Police Department"
NA,"FL0060800",175757,"Pembroke Pines Police Department"
199,"CA0390000",174825,"San Joaquin County Sheriff"
NA,"NY0330000",174528,"Onondaga County Sheriff"
113,"OR0200200",174513,"Eugene Police Department"
64,"CA0500000",173533,"Stanislaus County Sheriff"
53,"CO0350300",173274,"Fort Collins Police Department"
NA,"NC0920300",172079,"Cary Police Department"
10,"CA0331500",171848,"Corona Police Department"
15,"CA0300900",171698,"Garden Grove Police Department"
24,"NY0450000",171244,"Saratoga County Sheriff"
7,"MD0110000",171188,"Frederick County Sheriff"
NA,"FL0080000",171113,"Charlotte County Sheriff's Office"
69,"FL0570000",169210,"Santa Rosa County Sheriff"
154,"MO0390300",168854,"Springfield Police Department"
29,"HI0050000",167178,"Maui Police Department"
NA,"NC0900000",166924,"Union County Sheriff's Department"
12,"VA0990000",161525,"Alexandria Police Department"
74,"TN0630100",161167,"Clarksville Police Department"
NA,"SC0460000",161098,"York County Sheriff's Office"
NA,"MI8118100",161015,"Washtenaw County Sheriff's Office"
57,"CA0010600",160891,"Hayward Police Department"
NA,"CA0090000",158704,"El Dorado County Sheriff's Office"
NA,"SC0040000",158494,"Anderson County Sheriff's Office"
55,"SD0490200",156915,"Sioux Falls Police Department"
NA,"FL0060500",156434,"Hollywood Police Department"
56,"CA0270800",155984,"Salinas Police Department"
40,"TX0140400",154417,"Killeen Police Department"
NA,"CA0431600",154133,"Sunnyvale Police Department"
47,"KS1050200",153459,"Kansas City KS Police Department"
114,"MA0071800",153084,"Springfield Police Department"
NA,"GA1100000",152714,"Paulding County Sheriff's Office"
27,"CA0370600",152446,"Escondido Police Department"
