ori-1,percent_officers_white,percent_officers_black,percent_officers_hispanic,percent_officers_asianpacific,percent_officers_native_american,percent_officers_other,civilian_complaints_reported_2016,civilian_complaints_reported_2018,civilian_complaints_reported_2019,civilian_complaints_reported_2020,civilian_complaints_reported_2021,civilian_complaints_reported_2022,population
CA0070000,0.71,0.07,0.15,0.04,0,0.03,11,10,7,5,13,22,300829
CA0070600,0.39,0.09,0.3,0.13,0,0.09,3,6,0,4,2,6,26524
CA0080100,0.63,0,0.25,0.13,0,0,1,4,2,1,5,2,6706
CA0090000,0.93,0.01,0.04,0.01,0,0.01,79,12,10,12,10,6,158704
CA0100300,0.18,0,0.82,0,0,0,0,0,2,1,2,0,8377
CA0100500,0.52,0.06,0.35,0.04,0.01,0.02,209,171,231,146,135,162,535472
CA0100900,0.36,0,0.5,0.14,0,0,1,0,0,0,0,2,11531
CA0110100,0.91,0,0.09,0,0,0,1,3,4,2,6,0,7878
CA0130000,0.22,0,0.74,0.01,0.01,0.02,15,10,13,5,4,13,35027
CA0130200,0.1,0,0.87,0.03,0,0,6,11,4,5,6,8,39957
CA0130600,0.22,0,0.72,0,0.06,0,4,2,2,3,3,3,18528
CA0150000,0.61,0.01,0.33,0.03,0.01,0.01,104,142,115,172,169,164,329083
CA0150100,0.44,0,0.39,0,0,0.17,2,0,2,1,3,3,22149
CA0150200,0.69,0.04,0.24,0,0,0.02,55,49,101,44,87,109,388265
CA0160200,0.67,0.02,0.29,0,0,0.02,6,11,10,7,9,9,58075
CA0170100,0.92,0,0.08,0,0,0,3,2,2,2,2,3,5035
CA0180000,0.86,0,0,0.06,0.08,0,5,19,5,11,0,,15094
CA0190000,0.39,0.09,0.45,0.07,0,0,920,986,1010,985,763,742,2791309
CA0191000,0.62,0.09,0.14,0.09,0,0.06,24,25,36,43,28,17,33776
CA0191200,0.66,0.05,0.22,0.04,0.01,0.01,33,64,51,27,28,23,102419
CA0191800,0.5,0.08,0.31,0.05,0,0.07,15,28,18,23,20,42,39218
CA0192000,0.49,0.04,0.46,0.02,0,0,5,13,13,10,4,7,111054
CA0192200,0.34,0.02,0.57,0.04,0,0.03,12,6,12,11,3,5,115690
CA0192500,0.59,0.02,0.3,0.09,0,0,36,52,56,39,40,51,200168
CA0193300,0.36,0.12,0.43,0.03,0,0.06,29,13,12,10,4,11,107986
CA0194100,0.53,0.05,0.32,0.09,0.01,0,224,210,182,157,132,149,462654
CA0195300,0.48,0.13,0.33,0.06,0,0,16,18,47,45,53,57,141473
CA0195500,0.47,0.07,0.34,0.06,0,0.06,19,69,68,65,62,58,151982
CA0196500,0.49,0.13,0.37,0,0,0.02,10,4,2,4,3,8,90474
CA0196700,0.62,0.03,0.24,0.11,0,0,8,1,7,11,5,5,11467
CA0196900,0.25,0.03,0.71,0,0,0.01,13,5,6,8,15,11,93336
CA0197200,0.65,0.06,0.16,0.12,0,0.01,22,42,33,41,39,42,143421
CA0197600,0.54,0.03,0.43,0.01,0,0,14,18,19,12,6,5,85074
CA0210000,0.8,0.04,0.1,0.06,0.01,0.01,4,1,1,3,1,8,65298
CA0240000,0.56,0.07,0.22,0.06,0,0.09,7,11,5,5,7,10,95142
CA0270800,0.57,0.01,0.34,0.04,0,0.03,5,6,10,6,23,20,155984
CA0280000,0.92,0.02,0.04,0.03,0,0,6,11,5,9,2,4,23308
CA0300000,0.63,0.03,0.23,0.05,0,0.04,10,98,129,61,85,120,746448
CA0300100,0.65,0.03,0.24,0.07,0,0,23,71,70,74,86,45,351913
CA0300400,0.67,0.02,0.19,0.07,0,0.05,27,18,11,10,16,16,113317
