ori-1,percent_officers_white,percent_officers_black,percent_officers_hispanic,percent_officers_asianpacific,percent_officers_native_american,percent_officers_other,civilian_complaints_reported_2016,civilian_complaints_reported_2018,civilian_complaints_reported_2019,civilian_complaints_reported_2020,civilian_complaints_reported_2021,civilian_complaints_reported_2022,population
AR0600000,0.83,0.16,0.01,0,0,0.01,,,,58,,,49739
AR0660000,0.88,0.03,0.09,0,0,0,,,,0,,,20851
CO0010000,0.8,0.03,0.13,0.02,0,0.01,,,,300,,,100575
CO0070000,0,0,0,0,0,1,,,,44,,,57217
CO0180000,0.9,0.02,0.06,0,0,0.02,,,,123,,,210945
CO0300000,0,0,0,0,0,1,,,,82,,,199169
CO0350000,0.93,0.01,0.05,0,0,0.01,,,,82,,,85371
FL0080000,0.82,0.1,0.06,0.01,0.01,0,,,,122,,,171113
FL0180000,0.69,0.15,0.12,0.02,0.02,0,,,,6,,,108958
FL0310000,0.87,0.06,0.06,0.01,0,0.01,,,,48,,,107526
FL0370000,0.85,0.12,0.02,0,0,0.01,,,,89,,,98722
FL0450000,0.95,0.03,0.02,0,0,0,,,,51,,,76839
FL0600000,0.91,0.04,0.05,0.01,0,0,,,,9,,,128019
GA0080000,0.96,0.03,0,0,0,0.01,,,,0,,,74043
GA0110000,0.5,0.48,0.01,0.01,0,0,,,,165,,,152621
GA0380000,0.88,0.1,0.01,0.01,0,0,,,,36,,,99880
GA0480000,0.83,0.15,0.01,0,0,0,,,,0,,,106645
GA0690000,0.91,0.06,0.02,0,0,0,,,,14,,,146774
GA0760000,0.87,0.11,0.02,0.01,0,0,,,,0,,,55284
GA1050000,1,0,0,0,0,0,,,,2,,,34902
GA1070000,0,0,1,0,0,0,,,,175,,,94745
GA1210000,0.68,0.27,0.03,0.01,0,0,,,,172,,,197731
GA1470000,0.91,0.09,0,0.01,0,0,,,,34,,,67306
IA0570000,0.99,0,0,0,0,0.01,,,,6,,,38615
IA0790000,1,0,0,0,0,0,,,,1,,,9327
ID0200000,0.88,0,0.13,0,0,0,,,,10,,,13166
IL0560000,0.9,0.02,0.07,0,0,0.01,,,,3,,,63810
IL1010000,0.92,0.03,0.04,0,0,0.01,,,,8,,,56203
IN0450000,0.66,0.15,0.19,0,0,0,,,,9,,,47670
IN0710000,0.93,0.06,0.01,0,0,0,,,,8,,,109965
KS0460000,0.92,0.03,0.04,0,0,0,,,,57,,,22126
KS0580000,0,0,0,0,0,1,,,,0,,,4994
KS0820000,1,0,0,0,0,0,,,,0,,,1837
KY0080000,0.96,0.01,0,0,0,0.02,,,,2,,,101711
KY1030000,1,0,0,0,0,0,,,,2,,,16912
LA0100000,0.81,0.17,0.01,0.01,0,0,,,,7,,,90323
LA0230000,0,0,0,0,0,0,,,,11,,,35454
LA0420000,0.9,0.07,0.03,0,0,0,,,,0,,,16531
LA0450000,0.71,0.24,0.04,0.01,0,0,,,,35,,,52942
LA0490000,0.75,0.24,0.01,0,0,0,,,,7,,,48359
LA0520000,0.91,0.07,0.02,0,0,0,,,,49,,,208050
LA0550000,0.79,0.17,0.01,0.01,0.02,0,,,,1,,,77359
MD0090000,0.82,0.14,0.02,0.02,0,0,,,,47,,,154881
MD0190000,0.9,0.03,0.01,0.02,0,0.05,,,,95,,,114031
MI5015000,0.98,0.02,0,0,0,0,,,,40,,,188495
MI6316300,0.87,0.09,0.03,0.01,0,0,,,,7,,,16942
MO0390000,0.96,0.01,0.01,0.01,0,0,,,,35,,,90046
MO0500000,0.99,0,0.01,0,0,0,,,,9,,,164673
MO0740000,1,0,0,0,0,0,,,,0,,,10390
MO0780000,0.89,0.05,0,0,0,0.05,,,,2,,,5562
MO0900000,1,0,0,0,0,0,,,,0,,,6012
MS0250000,0.31,0.69,0,0,0,0,,,,14,,,29827
MS0700000,0.08,0.92,0,0,0,0,,,,8,,,16654
MT0170000,1,0,0,0,0,0,,,,0,,,1269
NB0280000,0.94,0.05,0.02,0,0,0,,,,30,,,81043
NB0760000,0.95,0,0,0.05,0,0,,,,1,,,7147
NC0010000,0.92,0.05,0.03,0,0,0,,,,22,,,68636
NC0130000,0.75,0.04,0.01,0,0,0.2,,,,12,,,81370
NC0320000,0.75,0.24,0.01,0.01,0,0,,,,9,,,38341
NC0650000,0.86,0.11,0.02,0.01,0.01,0,,,,16,,,101301
NC0780000,0.46,0.13,0,0,0.41,0,,,,5,,,95176
NM0010000,0.62,0.04,0.3,0,0.01,0.04,,,,45,,,120556
NV0030000,0.89,0.02,0.07,0.02,0.01,0,,,,7,,,49317
NY0010000,0.95,0.01,0.02,0,0,0.02,,,,7,,,17188
NY0060000,0.9,0.02,0.04,0,0,0.05,,,,2,,,56186
NY0070000,0.98,0.02,0,0,0,0,,,,1,,,39899
NY0180000,0.98,0,0.02,0,0,0,,,,7,,,37985
NY0270000,0.97,0.01,0.02,0,0,0,,,,3,,,236185
NY0390000,1,0,0,0,0,0,,,,3,,,46063
NY0430000,0.92,0.02,0.05,0,0,0.01,,,,2,,,10682
NY0480000,1,0,0,0,0,0,,,,1,,,15763
NY0500000,1,0,0,0,0,0,,,,2,,,58880
OH0230000,1,0,0,0,0,0,,,,9,,,76683
OH0400000,0.31,0.69,0,0,0,0,,,,0,,,18591
OH0500000,0.87,0.11,0.01,0.01,0,0,,,,24,,,15037
OH0570000,0.95,0.04,0,0,0,0,,,,8,,,60839
OK0240000,0.85,0,0.08,0,0.08,0,,,,0,,,7203
SC0020000,0.88,0.09,0.02,0.01,0,0,,,,2,,,109007
SC0230000,0.88,0.08,0.04,0,0,0,,,,28,,,370714
SC0320000,0.91,0.08,0.01,0,0,0,,,,98,,,226184
SC0370000,0,0,0,0,0,0,,,,0,,,64060
SC0420000,0.88,0.08,0.03,0,0,0.01,,,,16,,,251523
SC0430000,0,0,0,0,0,0,,,,6,,,67204
SC0460000,0.85,0.12,0.02,0.01,0.01,0,,,,5,,,161098
SD0100000,1,0,0,0,0,0,,,,0,,,1366
SD0220000,1,0,0,0,0,0,,,,0,,,3803
SD0280000,0.8,0.2,0,0,0,0,,,,2,,,5663
TN0060000,0.92,0.07,0.01,0,0,0,,,,2,,,62468
TN0090000,0.92,0.08,0,0,0,0,,,,8,,,15513
TN0180000,1,0,0,0,0,0,,,,11,,,49137
TN0330000,0.92,0.07,0.01,0,0,0,,,,45,,,118121
TN0580000,0.96,0.04,0,0,0,0,,,,0,,,18857
TN0630000,0.84,0.05,0.08,0.01,0,0.02,,,,9,,,52261
TN0790000,0.54,0.45,0.01,0,0,0,,,,139,,,125947
TN0820000,0.97,0.02,0,0,0,0,,,,16,,,78154
TN0830000,1,0,0,0,0,0,,,,7,,,57387
TN0940000,0.92,0.08,0,0,0,0,,,,6,,,61974
TX0150000,0.32,0.05,0.62,0.01,0,0,,,,0,,,298665
TX0400000,0.38,0,0.63,0,0,0,,,,0,,,2812
TX0430000,0.84,0.05,0.09,0.01,0,0.01,,,,19,,,45630
TX0570000,0.2,0.61,0.15,0.04,0,0,,,,236,,,2613539
TX0610000,0.85,0.05,0.09,0.01,0.01,0,,,,0,,,146209
TX1050000,0.82,0.01,0.17,0.01,0,0,,,,19,,,101906
TX1200000,1,0,0,0,0,0,,,,0,,,6911
TX1230000,0.75,0.16,0.09,0,0,0,,,,40,,,34157
TX1280000,0.31,0.03,0.56,0,0,0.09,,,,0,,,8853
TX1880000,0.81,0.03,0.14,0.02,0,0,,,,3,,,14657
TX2150000,1,0,0,0,0,0,,,,0,,,3921
TX2270000,0.71,0.08,0.2,0.01,0.01,0,,,,9,,,220173
UT0060000,0.92,0,0.05,0.01,0,0,,,,8,,,27975
UT0180000,0.83,0.01,0.07,0.02,0.01,0.06,,,,1063,,,263714
UT0230000,0.74,0.04,0.15,0.07,0,0,,,,3,,,24102
UT0250000,0.99,0,0.01,0,0,0,,,,0,,,67426
VA0090000,1,0,0,0,0,0,,,,1,,,4085
VA0300000,0.95,0.03,0,0,0,0.02,,,,52,,,61099
VA0340000,0.99,0,0.01,0,0,0,,,,0,,,87021
VA0420000,0.89,0.08,0.01,0.01,0,0,,,,6,,,100642
VA0440000,0.89,0.1,0.01,0,0,0,,,,3,,,50133
VA0450000,1,0,0,0,0,0,,,,1,,,2177
VA0600000,0.96,0.04,0,0,0,0,,,,5,,,31842
VA0860000,0.97,0.03,0,0,0,0,,,,1,,,20949
VA0890000,0.89,0.07,0.03,0.01,0.01,0,,,,18,,,155557
WI0300000,0.89,0.03,0.07,0,0.01,0,,,,6,,,42318
WI0540000,0.97,0.01,0.02,0,0,0,,,,4,,,27148
WI0550000,1,0,0,0,0,0,,,,0,,,11009
WI0680000,0.97,0.02,0.01,0,0,0,,,,13,,,96741
WI0710000,0.98,0.01,0.01,0,0,0,,,,3,,,36249
WV0480000,1,0,0,0,0,0,,,,0,,,6491
WY0100000,1,0,0,0,0,0,,,,1,,,3883
CO0350300,0.89,0.02,0.06,0.02,0,0,60,108,64,79,50,46,173274
